data,Charles River FIA,Ibovespa,BTC,SOL,SUI,XLU,GLDM,VGK,XLV,IWD,XLC,VIG,CDB 5a 14.1%,LCD 85% - BRDE,Guepardo FIA,Daycoval Classic CP,West Asset BDR,XP CDI Debêntures,Schroder CP HG,Trend Investback,Ibiuna CP,Real Investor FIM,Legacy FIM CP,JGP Deb FIM CP,Tarpon GT 90 FIA,Ascensus 15 18%,Contas Correntes,Resgatados
2025-01-30,30780.57,60326.66,10714.53,2509.58,1052.36,140.125,73.455,137.352,58.115,438.547,428.104,120.714,9538.3,11180.07,31693.08,20623.41,25721.53,8172.16,11863.72,112.7,24234.57,21774.66,10540.51,12488.02,15044.27,0,14441.23,7946.327
2025-01-31,31557.46,59592.41,10680.09,2506.11,1042.78,137.634495,72.75216,134.719745,57.187395,430.2171,424.445895,120.029405,9543.29,11184.73,32634.85,20632.96,25870.81,8172.04,11872.66,112.76,24245.87,21837.42,10535.48,12532.99,15410.56,0,14445.8,7962.010325
2025-02-01,31557.46,60629.47,10712.76,2488.03,984.83,137.634495,72.75216,134.719745,57.187395,430.2171,424.445895,120.029405,9548.29,11189.39,32634.85,20632.96,25870.81,8172.04,11872.66,112.76,24245.87,21837.42,10535.48,12532.99,15410.56,0,14450.36,7964.190325
2025-02-02,31557.46,60629.47,9617.32,2051.05,714.54,137.634495,72.75216,134.719745,57.187395,430.2171,424.445895,120.029405,9548.29,11189.39,32634.85,20632.96,25870.81,8172.04,11872.66,112.76,24245.87,21837.42,10535.48,12532.99,15410.56,0,14454.93,7964.190325
2025-02-03,31557.46,59792.97,11454.05,2209.6,934.25,138.839246,73.703336,133.675318,57.976828,431.89216,429.838325,120.589455,9548.29,11189.39,32261.36,20632.96,25607.98,8180.34,11879.24,112.82,24257.67,21870.91,10535.48,12531.27,15376.61,0,14459.5,7960.036301
2025-02-04,31002.29,59120.91,11182.43,2258.93,960.82,136.461876,73.327986,133.449984,56.878422,426.993612,426.472323,119.201418,9553.29,11194.05,32501.92,20656.77,25302.48,8194.1,11885.16,112.87,24263.5,21929.12,10556.02,12555.52,15421.45,0,14455.75,7967.004707
2025-02-05,31023.82,58776.97,10831.69,2065.81,838.8,137.786616,73.938525,135.061039,57.585063,430.003265,422.870372,120.331325,9558.29,11198.72,32258.6,20666.12,25210.62,8198.63,11891.79,112.93,24277.56,22006.06,10560.35,12557.91,15326.81,0,14460.31,7972.475019
2025-02-06,30820.95,58309.61,10923.2,2039.26,789.36,137.3359,73.5852,135.4847,56.86655,428.95775,423.86695,119.80735,9563.29,11203.39,31861.18,20677.38,25444.91,8200.63,11896.91,112.98,24294.65,21886.26,10566.69,12554.31,15332.59,0,1878.86,7966.72305
2025-02-07,31238.14,57892.42,10758.56,2023.21,753.36,136.280768,73.319974,133.575871,56.342429,424.093319,420.582708,118.209754,9568.3,11208.06,32046.35,20687.32,25388.91,8207.1,11901.56,175.89,24310.32,21950.74,10572,12570.05,15428.87,0,1879.6,5434.92461
2025-02-08,31238.14,57892.42,10758.56,2023.21,753.36,136.280768,73.319974,133.575871,56.342429,424.093319,420.582708,118.209754,9568.3,11208.06,32046.35,20687.32,25388.91,8207.1,11901.56,175.89,24310.32,21950.74,10572,12570.05,15428.87,0,1879.6,5434.92461
